date,Google Play,WindowsUpdate,FacebookContent,HTTPS,BITS,Quic Obfuscated,YouTube,HTTP-Proxy,GoogleServices,YouTube Browsing,Google Photos,Other UDP,WhatsApp Transfer,byteoversea,Tik Tok,Generic CDN,MS Services,Samsung Cloud,Hispasat-RTP-Bansat-VoIP,Facebook,Kakao,STUN,WhatsApp Calls,RTP,HTTP,Garena Free,Other Quic Type II,WhatsApp,Google Search,MediaFire,CapCut,AmazonCloud,HTTP_Browsing,Facebook Video,Snapchat,Call Of Duty,Vungle,Google Push Notifications,HTTP_File_Transfer,Telegram,Advertisements,Liftoff,Microsoft Live Login,MineCraft,Mega,Analytics,TikTok Live,HTTP DownloadManager,EA Games,GoogleHangout RTP,HTTP_Streaming,NetFlix,GoogleDuo Calls,iTunes,OneDrive,NetFlix_Browsing,TLS with no SNI,HTTPS_Streaming,Pinterest,Wattpad,GoogleDuo,Google Translate,Gmail,Arena of Valor,Apple SoftwareUpdate,AppleServices,Other TCP,Adobe Creative Cloud,GoogleHangout
01-09 09:00,0.879308858,0.6482745209999999,0.103271873,0.025818173,0.018966939999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 10:00,1.910166754,0.282998254,0.464634398,,0.18718081900000003,0.026916711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 11:00,0.363181489,0.958132775,0.33502780800000004,,,,0.031369132,0.028877706000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 12:00,,0.601790792,,0.003391296,,0.0038984880000000003,0.115885178,,0.004209289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 13:00,,,,0.023999297000000003,,,0.15198055,,,0.186290453,0.050263264,0.027281551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 14:00,,,0.06568679300000001,,,,0.169211359,,,0.07643945999999999,,,0.021624922999999997,0.011244713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 15:00,,,,,,,0.015284244999999998,,0.10173357100000001,0.021442837,,,0.865809649,,0.187409717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 16:00,,,,,,0.017075848999999997,0.099033012,,,,,,0.15275988300000004,0.005621575,0.17421361300000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 17:00,,,,0.005456858,,,0.034525118,,,0.002155627,,,0.17393402500000002,,0.065740433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 19:00,0.004073752,,,0.0011852920000000001,,,,,0.014843833,0.00019159500000000002,,0.00026400800000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 20:00,0.001177429,,,0.001135905,,,,,0.002708613,,,0.001424431,,,,0.000158291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 21:00,,,,0.004664285,,0.0025261199999999998,0.002342375,,,,,0.002879759,,,,,0.005425606999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 22:00,0.000321948,,,0.000508753,,,,,0.00038660200000000005,,,0.001424484,,,,0.00014874200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-09 23:00,0.000474973,,,0.000978972,,,,,0.002899301,,,0.0015528299999999998,,,,,,0.00043550300000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 00:00,0.000756123,,,0.0010983420000000002,,,,,0.002428304,,,0.00144123,,,,,,,0.00014688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 01:00,0.000309836,,,0.000643859,,,,,0.00044914499999999997,,,0.00144384,,,,0.00016056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 02:00,0.000296209,,,0.000818026,,,,,0.00041753499999999997,,,0.001445468,,,,,,,0.00014546899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 03:00,0.00035389600000000003,,,0.0010648679999999998,,,,,0.00097352,,,0.001400875,,,,0.000163527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 04:00,0.004219867,,,0.001261631,,,,,0.014302736,,,0.001126924,,,,0.000173958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 05:00,0.000336034,,,0.0008993790000000001,,,,,0.000573998,,,0.001424603,,,,,,,0.000144893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 06:00,,,0.098032326,0.0012961420000000001,,,0.021931856000000003,,,,,,0.493287391,,,,,,,0.004468621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 07:00,,,,0.001763992,,,,,0.0007066990000000001,,,0.000796404,0.004750843000000001,,,0.000198131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 08:00,,,0.002356974,,,,,,,,,,1.094478878,,,,,,,,0.014128994,0.011216348999999999,0.00563466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 09:00,,,0.0013855,,,,,,0.001214539,,,0.001426594,,,,,,,,,,0.034777076000000004,0.019535527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 10:00,,,,,,,,,,,,,0.007625441,,,,,,,,0.002418327,0.006895930000000001,0.018080837,0.007101481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 11:00,,,,,,,,,0.001787309,,,0.001433952,0.00154686,,,,,,,,0.043788811000000004,,0.007230274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 12:00,,,0.007275085000000001,0.004197142,,,,,0.00307889,0.002023836,,,,,,,0.01009374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 13:00,,0.00111871,,,,0.0017513499999999998,,,0.001263115,,,0.001442288,,,,,0.003950321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 14:00,,0.006709486000000001,,0.0060679620000000005,,,,,,,,,0.028350802000000005,,0.152858454,,,,,,,,0.019783237000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 15:00,,,,0.003801791,,0.0007239249999999999,,,0.001416686,,,0.0014401370000000002,,,0.136882982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 16:00,0.003959791,,,0.004970624,,0.0011529980000000001,,,,,,0.0013045720000000002,,,0.13369053100000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 17:00,,,0.13789678100000002,,,,0.06559822099999998,,0.018121826,,,,0.036696621,,0.077854611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 18:00,,,0.139144445,,,0.011508477000000001,0.041299018,,,,,,,,0.35196071100000004,,0.068516471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 19:00,,0.288073787,,,,0.013321388,0.25343018300000003,,,,,,,,0.12217430900000001,,0.005763314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 20:00,,0.30375584,,,,0.004699297000000001,0.155573966,,,0.00906906,,,,,,,,,,,,,,,0.035657478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 21:00,,0.053176122000000006,,,,0.002221366,0.023437285,,0.001546728,0.0027510489999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 22:00,0.000273131,,,0.000781973,,,,,0.001166876,,,0.001443357,,,,0.00018586100000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-09 23:00,0.000268635,,,0.00120506,,,,,0.000973204,,,0.001417521,,,,0.000149863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 00:00,0.000554882,,,0.000863731,,,,,0.002043197,,,0.0014407730000000002,,,,,,,0.000148032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 01:00,0.000249462,,,0.000791109,,,,,0.0006798759999999999,,,0.001438768,,,,,,,0.00014809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 02:00,0.000245285,,,0.000896842,,,,,0.001155507,,,0.001440555,,,,,,,0.00014834899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 03:00,0.0005021159999999999,,,0.0009606800000000001,,,,,0.001262207,,,0.001398771,,,,,,,0.000147255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 04:00,0.00052776,,,0.00062999,,,,,0.0007810439999999999,,,0.001443979,,,,,,,0.00014745600000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 05:00,0.00024187000000000001,,,0.00071433,,,,,0.00030269800000000006,,,0.001423639,,,,0.000173661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 06:00,,,0.05696086,0.009107974,,,0.007080670000000001,,,0.002906053,,,0.041593998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 07:00,0.052339084,,,0.0036064360000000006,,0.0032119180000000002,,,0.001858634,0.004200523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 08:00,0.939054073,,,,,,0.023430805,,,0.019614428,,,,0.020639335999999998,,,,,,,,,,,,0.21802532500000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 09:00,0.000337485,,,0.0007174239999999999,,,,,0.000752663,,,0.001434053,,,,,,,0.00014745600000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 10:00,0.000321764,,,0.00097959,,,,,0.00068168,,,0.0014089179999999999,,,,0.000148645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 11:00,,,,0.004524612,,,0.005725818000000001,,0.003981602,,,0.0014584420000000001,,,,,,,,,,,,,,,0.0026706399999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 12:00,,,,0.009266137,,,0.004993196,,0.007104646,,,0.0021295790000000004,,,,,,,,,,,,,,,0.0034750880000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 13:00,0.000622523,,,0.001062577,,,,,0.001611319,,,0.001382355,,,,0.000156405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 14:00,0.001029213,,,0.009286036,,,,,0.009800306,0.00034387400000000004,,0.001423409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 15:00,0.00033991200000000005,,,0.000872349,,,,,0.001258308,,,0.001404673,,,,0.000163724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 16:00,0.00138439,,,0.005894122999999999,,,,,0.007596537,0.0007164500000000001,,0.0014478240000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 17:00,0.001236862,,,0.0038489600000000002,,,,,0.003002807,0.00031752200000000004,,0.001446768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 18:00,,,0.137449557,,,,,,0.0031127129999999996,,,0.0010992360000000002,0.688654186,,,,,,,,,,,,,,,0.0016832870000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 19:00,,,,0.0006096680000000001,,,,,0.001225922,,,0.001401998,0.007451650000000001,,,,,,,,,,,,,,,0.000545266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 20:00,0.00043071000000000006,,,0.0010057800000000002,,,,,0.0017345050000000001,,,0.001362214,0.002766998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 21:00,0.0005951670000000001,,,0.0012771999999999998,,,,,0.014387272000000001,,,0.0010700969999999999,0.027160273999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 22:00,0.000517808,,,0.0010197070000000001,,,,,0.000484986,,,0.0014199000000000002,0.00147682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-09 23:00,0.00032161,,,0.000836275,,,,,0.001770018,,,0.001427798,,,,,,,0.000147514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 00:00,0.0005857229999999999,,,0.001177146,,,,,0.0018704449999999999,,,0.001584735,,,,,,,0.000162173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 01:00,0.000481218,,,0.000734873,,,,,0.001378278,,,0.001401577,,,,,,,0.000148608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 02:00,0.00378974,,,0.000528933,,,,,0.00044065700000000006,,,0.001449736,,,,,,,0.000148925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 03:00,0.000202489,,,0.0009302140000000001,,,,,0.0008601680000000001,,,0.001416549,,,,,,,0.000148032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 04:00,0.000636782,,,0.000565031,,,,,0.0005423650000000001,,,0.0014293780000000002,,,,,,,0.00014834899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 05:00,,,0.015573013,,,,,,0.001067463,,,0.001405131,0.034325268,,,,,,,0.002401618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 06:00,0.0008080600000000001,,,0.005003536,,,,,0.005364067,0.001729276,,0.001550029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 07:00,,,0.310625567,,,0.012237872000000002,,,0.009022654,,,,0.019298199000000002,,,,,,,,,,,,,,,,0.009785491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 08:00,,,0.049698358,0.0041602110000000005,,0.003623622,,,0.003865326,,,,0.026524525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 09:00,,,0.069030934,0.002220821,,,,,0.004033086,,,0.0014236189999999999,0.009184923999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 10:00,,,0.07977859000000001,0.061176658,,,0.045982997000000005,,,,,,,,,,,,,,,,,,,0.839991164,,,,1.018804361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-09 11:00,0.26586347400000004,,0.17532802599999997,0.09656041800000001,,,0.073380583,,,,,,,,,,,,,,,,,,,,,,,0.18913211600000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
